source	target	resp_palindrome	resp_alternating	resp_sorted_descending	resp_sorted_ascending	resp_decreasing_pairs	resp_mountain_pattern	resp_increasing_pairs	resp_first_last_match	resp_no_repeats	resp_has_majority
increasing_pairs	mountain_pattern	-0.0007	-0.0028	-0.0075	0.0067	-0.0105	0.0013	-0.0015	0.0003	-0.0105	0.0021
increasing_pairs	first_last_match	-0.0078	-0.0229	-0.0793	0.0739	-0.0834	-0.0201	0.0281	0.0001	-0.0435	-0.0106
increasing_pairs	no_repeats	-0.0552	-0.0734	-0.3361	0.3020	-0.2772	-0.0655	0.2419	-0.0587	-0.0933	-0.0957
increasing_pairs	has_majority	-0.0000	-0.0002	-0.0002	0.0003	-0.0004	0.0000	-0.0000	0.0001	-0.0003	0.0000
first_last_match	palindrome	-0.0006	-0.0036	-0.0803	0.0657	-0.0615	-0.0600	0.0399	-0.0084	-0.0232	-0.0137
first_last_match	alternating	0.0067	-0.0148	0.2638	-0.2057	0.2302	-0.1559	-0.2459	0.0370	0.1043	0.0615
first_last_match	sorted_descending	0.0093	-0.0011	0.1586	-0.1732	0.1364	-0.0251	-0.1583	0.0113	-0.0572	0.0416
first_last_match	sorted_ascending	-0.0011	-0.0058	-0.0582	0.0562	-0.0595	0.0001	0.0306	-0.0007	-0.0183	-0.0060
first_last_match	decreasing_pairs	-0.0006	-0.0072	0.0474	-0.0469	0.0392	-0.0149	-0.0472	0.0054	-0.0153	0.0088
first_last_match	mountain_pattern	-0.0007	-0.0028	-0.0075	0.0067	-0.0105	0.0013	-0.0015	0.0003	-0.0105	0.0021
first_last_match	increasing_pairs	-0.0015	-0.0127	-0.2199	0.1978	-0.2149	-0.0065	0.1205	-0.0102	-0.0638	-0.0241
first_last_match	no_repeats	-0.0552	-0.0734	-0.3361	0.3020	-0.2772	-0.0655	0.2419	-0.0587	-0.0933	-0.0957
first_last_match	has_majority	-0.0000	-0.0002	-0.0002	0.0003	-0.0004	0.0000	-0.0000	0.0001	-0.0003	0.0000
no_repeats	palindrome	-0.0006	-0.0036	-0.0803	0.0657	-0.0615	-0.0600	0.0399	-0.0084	-0.0232	-0.0137
no_repeats	alternating	0.0067	-0.0148	0.2638	-0.2057	0.2302	-0.1559	-0.2459	0.0370	0.1043	0.0615
no_repeats	sorted_descending	0.0093	-0.0011	0.1586	-0.1732	0.1364	-0.0251	-0.1583	0.0113	-0.0572	0.0416
no_repeats	sorted_ascending	-0.0011	-0.0058	-0.0582	0.0562	-0.0595	0.0001	0.0306	-0.0007	-0.0183	-0.0060
no_repeats	decreasing_pairs	-0.0006	-0.0072	0.0474	-0.0469	0.0392	-0.0149	-0.0472	0.0054	-0.0153	0.0088
no_repeats	mountain_pattern	-0.0007	-0.0028	-0.0075	0.0067	-0.0105	0.0013	-0.0015	0.0003	-0.0105	0.0021
no_repeats	increasing_pairs	-0.0015	-0.0127	-0.2199	0.1978	-0.2149	-0.0065	0.1205	-0.0102	-0.0638	-0.0241
no_repeats	first_last_match	-0.0078	-0.0229	-0.0793	0.0739	-0.0834	-0.0201	0.0281	0.0001	-0.0435	-0.0106
no_repeats	has_majority	-0.0000	-0.0002	-0.0002	0.0003	-0.0004	0.0000	-0.0000	0.0001	-0.0003	0.0000
has_majority	palindrome	-0.0006	-0.0036	-0.0803	0.0657	-0.0615	-0.0600	0.0399	-0.0084	-0.0232	-0.0137
has_majority	alternating	0.0067	-0.0148	0.2638	-0.2057	0.2302	-0.1559	-0.2459	0.0370	0.1043	0.0615
has_majority	sorted_descending	0.0093	-0.0011	0.1586	-0.1732	0.1364	-0.0251	-0.1583	0.0113	-0.0572	0.0416
has_majority	sorted_ascending	-0.0011	-0.0058	-0.0582	0.0562	-0.0595	0.0001	0.0306	-0.0007	-0.0183	-0.0060
has_majority	decreasing_pairs	-0.0006	-0.0072	0.0474	-0.0469	0.0392	-0.0149	-0.0472	0.0054	-0.0153	0.0088
has_majority	mountain_pattern	-0.0007	-0.0028	-0.0075	0.0067	-0.0105	0.0013	-0.0015	0.0003	-0.0105	0.0021
has_majority	increasing_pairs	-0.0015	-0.0127	-0.2199	0.1978	-0.2149	-0.0065	0.1205	-0.0102	-0.0638	-0.0241
has_majority	first_last_match	-0.0078	-0.0229	-0.0793	0.0739	-0.0834	-0.0201	0.0281	0.0001	-0.0435	-0.0106
has_majority	no_repeats	-0.0552	-0.0734	-0.3361	0.3020	-0.2772	-0.0655	0.2419	-0.0587	-0.0933	-0.0957
