pattern	pattern_idx	sample_idx
mountain_pattern	7	336
has_majority	12	337
mountain_pattern	7	338
sorted_descending	3	339
has_majority	12	340
has_majority	12	341
sorted_descending	3	342
mountain_pattern	7	343
has_majority	12	344
sorted_descending	3	345
sorted_ascending	4	346
has_majority	12	347
has_majority	12	348
mountain_pattern	7	349
sorted_descending	3	350
has_majority	12	351
sorted_descending	3	352
mountain_pattern	7	353
sorted_descending	3	354
mountain_pattern	7	355
sorted_descending	3	356
mountain_pattern	7	357
sorted_ascending	4	358
sorted_descending	3	359
mountain_pattern	7	360
has_majority	12	361
sorted_descending	3	362
has_majority	12	363
sorted_ascending	4	364
sorted_descending	3	365
sorted_descending	3	366
has_majority	12	367
has_majority	12	368
mountain_pattern	7	369
sorted_ascending	4	370
has_majority	12	371
mountain_pattern	7	372
has_majority	12	373
sorted_ascending	4	374
sorted_ascending	4	375
has_majority	12	376
mountain_pattern	7	377
has_majority	12	378
mountain_pattern	7	379
has_majority	12	380
has_majority	12	381
sorted_ascending	4	382
has_majority	12	383
sorted_descending	3	384
sorted_descending	3	385
has_majority	12	386
sorted_descending	3	387
sorted_ascending	4	388
has_majority	12	389
sorted_ascending	4	390
sorted_ascending	4	391
mountain_pattern	7	392
sorted_descending	3	393
mountain_pattern	7	394
has_majority	12	395
sorted_descending	3	396
mountain_pattern	7	397
has_majority	12	398
