pattern	pattern_idx	sample_idx
mountain_pattern	7	127
has_majority	12	128
mountain_pattern	7	129
has_majority	12	130
has_majority	12	131
has_majority	12	132
mountain_pattern	7	133
sorted_descending	3	134
sorted_descending	3	135
has_majority	12	136
sorted_descending	3	137
mountain_pattern	7	138
has_majority	12	139
mountain_pattern	7	140
has_majority	12	141
sorted_ascending	4	142
has_majority	12	143
sorted_ascending	4	144
has_majority	12	145
has_majority	12	146
has_majority	12	147
sorted_descending	3	148
has_majority	12	149
sorted_ascending	4	150
sorted_ascending	4	151
sorted_ascending	4	152
sorted_ascending	4	153
sorted_ascending	4	154
has_majority	12	155
has_majority	12	156
has_majority	12	157
sorted_descending	3	158
has_majority	12	159
sorted_ascending	4	160
mountain_pattern	7	161
sorted_ascending	4	162
sorted_ascending	4	163
has_majority	12	164
has_majority	12	165
has_majority	12	166
sorted_ascending	4	167
mountain_pattern	7	168
mountain_pattern	7	169
has_majority	12	170
sorted_descending	3	171
has_majority	12	172
sorted_descending	3	173
sorted_descending	3	174
sorted_descending	3	175
has_majority	12	176
has_majority	12	177
mountain_pattern	7	178
sorted_ascending	4	179
sorted_ascending	4	180
has_majority	12	181
mountain_pattern	7	182
mountain_pattern	7	183
mountain_pattern	7	184
has_majority	12	185
sorted_ascending	4	186
mountain_pattern	7	187
sorted_descending	3	188
has_majority	12	189
mountain_pattern	7	190
has_majority	12	191
has_majority	12	192
mountain_pattern	7	193
has_majority	12	194
has_majority	12	195
mountain_pattern	7	196
sorted_ascending	4	197
sorted_ascending	4	198
sorted_descending	3	199
sorted_ascending	4	200
has_majority	12	201
sorted_ascending	4	202
mountain_pattern	7	203
has_majority	12	204
sorted_ascending	4	205
has_majority	12	206
sorted_ascending	4	207
has_majority	12	208
sorted_descending	3	209
mountain_pattern	7	210
sorted_descending	3	211
has_majority	12	212
has_majority	12	213
has_majority	12	214
has_majority	12	215
sorted_ascending	4	216
sorted_ascending	4	217
sorted_descending	3	218
has_majority	12	219
has_majority	12	220
sorted_ascending	4	221
sorted_ascending	4	222
mountain_pattern	7	223
mountain_pattern	7	224
has_majority	12	225
sorted_ascending	4	226
sorted_ascending	4	227
sorted_ascending	4	228
has_majority	12	229
has_majority	12	230
has_majority	12	231
sorted_descending	3	232
sorted_ascending	4	233
sorted_descending	3	234
mountain_pattern	7	235
has_majority	12	236
has_majority	12	237
sorted_descending	3	238
has_majority	12	239
mountain_pattern	7	240
mountain_pattern	7	241
has_majority	12	242
mountain_pattern	7	243
has_majority	12	244
mountain_pattern	7	245
has_majority	12	246
sorted_descending	3	247
has_majority	12	248
sorted_ascending	4	249
has_majority	12	250
mountain_pattern	7	251
mountain_pattern	7	252
mountain_pattern	7	253
has_majority	12	254
mountain_pattern	7	255
has_majority	12	256
sorted_ascending	4	257
sorted_descending	3	258
has_majority	12	259
mountain_pattern	7	260
mountain_pattern	7	261
sorted_descending	3	262
sorted_descending	3	263
sorted_descending	3	264
has_majority	12	265
sorted_ascending	4	266
mountain_pattern	7	267
sorted_descending	3	268
has_majority	12	269
mountain_pattern	7	270
sorted_ascending	4	271
has_majority	12	272
sorted_descending	3	273
mountain_pattern	7	274
sorted_descending	3	275
sorted_ascending	4	276
mountain_pattern	7	277
has_majority	12	278
sorted_ascending	4	279
mountain_pattern	7	280
sorted_ascending	4	281
has_majority	12	282
sorted_descending	3	283
mountain_pattern	7	284
sorted_descending	3	285
has_majority	12	286
has_majority	12	287
has_majority	12	288
sorted_descending	3	289
mountain_pattern	7	290
has_majority	12	291
has_majority	12	292
sorted_ascending	4	293
sorted_descending	3	294
sorted_descending	3	295
sorted_ascending	4	296
sorted_descending	3	297
sorted_descending	3	298
sorted_ascending	4	299
has_majority	12	300
sorted_descending	3	301
sorted_descending	3	302
sorted_descending	3	303
mountain_pattern	7	304
has_majority	12	305
sorted_descending	3	306
mountain_pattern	7	307
sorted_ascending	4	308
sorted_ascending	4	309
sorted_ascending	4	310
has_majority	12	311
mountain_pattern	7	312
sorted_ascending	4	313
sorted_ascending	4	314
has_majority	12	315
sorted_ascending	4	316
sorted_ascending	4	317
mountain_pattern	7	318
has_majority	12	319
mountain_pattern	7	320
has_majority	12	321
has_majority	12	322
has_majority	12	323
has_majority	12	324
sorted_descending	3	325
sorted_descending	3	326
sorted_descending	3	327
has_majority	12	328
has_majority	12	329
has_majority	12	330
has_majority	12	331
has_majority	12	332
has_majority	12	333
has_majority	12	334
has_majority	12	335
mountain_pattern	7	336
has_majority	12	337
sorted_ascending	4	338
mountain_pattern	7	339
sorted_descending	3	340
sorted_descending	3	341
has_majority	12	342
has_majority	12	343
has_majority	12	344
sorted_ascending	4	345
has_majority	12	346
sorted_ascending	4	347
sorted_ascending	4	348
sorted_descending	3	349
has_majority	12	350
sorted_ascending	4	351
has_majority	12	352
mountain_pattern	7	353
mountain_pattern	7	354
mountain_pattern	7	355
has_majority	12	356
mountain_pattern	7	357
mountain_pattern	7	358
mountain_pattern	7	359
sorted_ascending	4	360
sorted_descending	3	361
sorted_ascending	4	362
mountain_pattern	7	363
sorted_ascending	4	364
mountain_pattern	7	365
sorted_descending	3	366
has_majority	12	367
has_majority	12	368
has_majority	12	369
mountain_pattern	7	370
mountain_pattern	7	371
sorted_descending	3	372
sorted_ascending	4	373
mountain_pattern	7	374
mountain_pattern	7	375
mountain_pattern	7	376
mountain_pattern	7	377
sorted_ascending	4	378
mountain_pattern	7	379
has_majority	12	380
mountain_pattern	7	381
sorted_ascending	4	382
sorted_descending	3	383
has_majority	12	384
has_majority	12	385
has_majority	12	386
sorted_ascending	4	387
mountain_pattern	7	388
has_majority	12	389
sorted_ascending	4	390
mountain_pattern	7	391
sorted_ascending	4	392
has_majority	12	393
sorted_descending	3	394
mountain_pattern	7	395
mountain_pattern	7	396
has_majority	12	397
has_majority	12	398
