pattern	pattern_idx	sample_idx
sorted_ascending	4	368
mountain_pattern	7	369
sorted_descending	3	370
has_majority	12	371
sorted_descending	3	372
sorted_descending	3	373
sorted_descending	3	374
has_majority	12	375
mountain_pattern	7	376
has_majority	12	377
sorted_ascending	4	378
sorted_descending	3	379
sorted_ascending	4	380
mountain_pattern	7	381
mountain_pattern	7	382
mountain_pattern	7	383
has_majority	12	384
mountain_pattern	7	385
has_majority	12	386
has_majority	12	387
has_majority	12	388
sorted_descending	3	389
sorted_ascending	4	390
sorted_ascending	4	391
mountain_pattern	7	392
sorted_ascending	4	393
mountain_pattern	7	394
sorted_descending	3	395
has_majority	12	396
sorted_descending	3	397
mountain_pattern	7	398
